,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2022-10-09,19:30,Super League,Matchweek 1,Sun,Away,D,3.0,3.0,Hyderabad FC,50.0,2127.0,Mourtada Fall,4-3-3,Tejas Nagvenkar,Match Report,,15,5,,0,0,2022,Mumbai City
1,2022-10-15,19:30,Super League,Matchweek 2,Sat,Home,W,2.0,0.0,Odisha,49.0,4128.0,Rahul Bheke,4-3-3,Pranjal Banerjee,Match Report,,7,3,,0,0,2022,Mumbai City
2,2022-10-22,17:30,Super League,Matchweek 3,Sat,Home,D,1.0,1.0,Jamshedpur,71.0,3733.0,Rahul Bheke,4-3-3,R. Venkatesh,Match Report,,14,5,,0,0,2022,Mumbai City
3,2022-10-28,19:30,Super League,Matchweek 4,Fri,Away,W,2.0,0.0,Kerala Blasters,47.0,33121.0,Rahul Bheke,4-2-3-1,Aditya Purkayastha,Match Report,,16,4,,0,0,2022,Mumbai City
4,2022-11-06,19:30,Super League,Matchweek 5,Sun,Home,D,2.0,2.0,Mohun Bagan,56.0,5869.0,Rahul Bheke,4-3-3,Rowan Arumughan,Match Report,,21,7,,0,0,2022,Mumbai City
5,2022-11-12,19:30,Super League,Matchweek 6,Sat,Away,W,6.0,2.0,Chennaiyin,62.0,7789.0,Rahul Bheke,4-3-3,Ashwin Mohanlal,Match Report,,18,11,,1,1,2022,Mumbai City
6,2022-11-17,19:30,Super League,Matchweek 7,Thu,Home,W,4.0,0.0,Bengaluru,50.0,6118.0,Rahul Bheke,4-3-3,C. R. Srikrishna,Match Report,,12,5,,0,0,2022,Mumbai City
7,2022-11-25,19:30,Super League,Matchweek 8,Fri,Away,W,3.0,1.0,NorthEast Utd,66.0,851.0,Rahul Bheke,4-3-3,S. Senthil Nathan,Match Report,,22,13,,1,1,2022,Mumbai City
8,2022-12-01,19:30,Super League,Matchweek 9,Thu,Home,W,4.0,1.0,Goa,55.0,5529.0,Rahul Bheke,4-3-3,Pratik Mondal,Match Report,,13,8,,0,0,2022,Mumbai City
9,2022-12-16,19:30,Super League,Matchweek 11,Fri,Away,W,3.0,0.0,East Bengal,69.0,8079.0,Mourtada Fall,4-3-3,Tejas Nagvenkar,Match Report,,19,9,,0,1,2022,Mumbai City
10,2022-12-24,17:30,Super League,Matchweek 12,Sat,Home,W,2.0,1.0,Chennaiyin,56.0,3892.0,Mourtada Fall,4-3-3,Pranjal Banerjee,Match Report,,18,8,,0,0,2022,Mumbai City
11,2023-01-02,19:30,Super League,Matchweek 13,Mon,Away,W,4.0,2.0,Odisha,59.0,4417.0,Rahul Bheke,4-2-3-1,Rowan Arumughan,Match Report,,16,9,,0,0,2022,Mumbai City
12,2023-01-08,19:30,Super League,Matchweek 14,Sun,Home,W,4.0,0.0,Kerala Blasters,60.0,6407.0,Rahul Bheke,4-2-3-1,C. R. Srikrishna,Match Report,,9,6,,0,0,2022,Mumbai City
13,2023-01-14,19:30,Super League,Matchweek 15,Sat,Away,W,1.0,0.0,Mohun Bagan,43.0,,Rahul Bheke,4-2-3-1,Tejas Nagvenkar,Match Report,,13,9,,0,0,2022,Mumbai City
14,2023-01-19,19:30,Super League,Matchweek 16,Thu,Home,W,4.0,0.0,NorthEast Utd,74.0,3187.0,Mourtada Fall,4-3-3,Ashwin Mohanlal,Match Report,,21,11,,0,1,2022,Mumbai City
15,2023-01-27,19:30,Super League,Matchweek 17,Fri,Away,W,2.0,1.0,Jamshedpur,64.0,,Mourtada Fall,4-3-3,S. Senthil Nathan,Match Report,,14,4,,0,0,2022,Mumbai City
16,2023-02-04,17:30,Super League,Matchweek 18,Sat,Home,D,1.0,1.0,Hyderabad FC,60.0,5588.0,Mourtada Fall,4-3-3,Harish Kundu,Match Report,,14,4,,1,1,2022,Mumbai City
17,2023-02-11,17:30,Super League,Matchweek 20,Sat,Away,W,5.0,3.0,Goa,45.0,,Ahmed Jahouh,4-3-3,Pranjal Banerjee,Match Report,,15,8,,1,1,2022,Mumbai City
18,2023-02-15,19:30,Super League,Matchweek 20,Wed,Away,L,1.0,2.0,Bengaluru,61.0,5901.0,Mourtada Fall,4-3-3,Rowan Arumughan,Match Report,,12,6,,0,0,2022,Mumbai City
0,2022-10-09,19:30,Super League,Matchweek 1,Sun,Home,D,3.0,3.0,Mumbai City,50.0,2127.0,João Victor,4-2-3-1,Tejas Nagvenkar,Match Report,,13,7,,1,1,2022,Hyderabad FC
1,2022-10-13,19:30,Super League,Matchweek 2,Thu,Away,W,3.0,0.0,NorthEast Utd,55.0,8627.0,João Victor,4-2-3-1,Pratik Mondal,Match Report,,20,10,,0,1,2022,Hyderabad FC
2,2022-10-22,19:30,Super League,Matchweek 3,Sat,Home,W,1.0,0.0,Bengaluru,57.0,10543.0,João Victor,4-2-3-1,Umesh Bora,Match Report,,19,4,,0,0,2022,Hyderabad FC
3,2022-10-29,17:30,Super League,Matchweek 4,Sat,Home,W,1.0,0.0,Goa,39.0,9638.0,João Victor,4-2-3-1,Crystal John,Match Report,,13,2,,0,0,2022,Hyderabad FC
4,2022-11-05,17:30,Super League,Matchweek 5,Sat,Home,W,1.0,0.0,Odisha,51.0,10126.0,João Victor,4-2-3-1,R. Venkatesh,Match Report,,6,2,,0,0,2022,Hyderabad FC
5,2022-11-09,19:30,Super League,Matchweek 6,Wed,Away,W,1.0,0.0,Jamshedpur,66.0,20189.0,João Victor,4-2-3-1,Pratik Mondal,Match Report,,12,2,,0,0,2022,Hyderabad FC
6,2022-11-19,19:30,Super League,Matchweek 7,Sat,Home,L,0.0,1.0,Kerala Blasters,68.0,11834.0,João Victor,4-2-3-1,Pranjal Banerjee,Match Report,,16,1,,0,0,2022,Hyderabad FC
7,2022-11-26,19:30,Super League,Matchweek 8,Sat,Away,L,0.0,1.0,Mohun Bagan,59.0,26493.0,João Victor,4-2-3-1,Harish Kundu,Match Report,,12,1,,0,0,2022,Hyderabad FC
8,2022-12-03,17:30,Super League,Matchweek 9,Sat,Away,W,3.0,1.0,Chennaiyin,57.0,8207.0,João Victor,4-2-3-1,Rahul Kumar Gupta,Match Report,,17,7,,0,0,2022,Hyderabad FC
9,2022-12-09,19:30,Super League,Matchweek 10,Fri,Home,W,2.0,0.0,East Bengal,50.0,5196.0,João Victor,4-2-3-1,S. Senthil Nathan,Match Report,,10,5,,0,0,2022,Hyderabad FC
10,2022-12-23,19:30,Super League,Matchweek 12,Fri,Away,W,3.0,0.0,Bengaluru,33.0,8117.0,Bartholomew Ogbeche,4-2-3-1,Priyobarta Singh,Match Report,,9,5,,0,0,2022,Hyderabad FC
11,2022-12-29,19:30,Super League,Matchweek 13,Thu,Home,W,6.0,1.0,NorthEast Utd,41.0,5907.0,Bartholomew Ogbeche,4-2-3-1,I. Jamal Mohamed,Match Report,,23,11,,0,0,2022,Hyderabad FC
12,2023-01-05,19:30,Super League,Matchweek 14,Thu,Away,W,3.0,1.0,Goa,37.0,8327.0,Bartholomew Ogbeche,4-2-3-1,Pranjal Banerjee,Match Report,,9,5,,0,0,2022,Hyderabad FC
13,2023-01-12,19:30,Super League,Matchweek 15,Thu,Home,D,1.0,1.0,Chennaiyin,48.0,,Bartholomew Ogbeche,4-2-3-1,Umesh Bora,Match Report,,8,2,,1,1,2022,Hyderabad FC
14,2023-01-20,19:30,Super League,Matchweek 16,Fri,Away,W,2.0,0.0,East Bengal,45.0,,Bartholomew Ogbeche,4-2-3-1,Rowan Arumughan,Match Report,,18,7,,0,0,2022,Hyderabad FC
15,2023-02-04,17:30,Super League,Matchweek 18,Sat,Away,D,1.0,1.0,Mumbai City,40.0,5588.0,Bartholomew Ogbeche,4-2-3-1,Harish Kundu,Match Report,,9,1,,0,0,2022,Hyderabad FC
16,2023-02-10,19:30,Super League,Matchweek 19,Fri,Away,L,1.0,3.0,Odisha,52.0,6217.0,Bartholomew Ogbeche,4-2-3-1,Aditya Purkayastha,Match Report,,7,3,,0,0,2022,Hyderabad FC
17,2023-02-14,19:30,Super League,Matchweek 20,Tue,Home,W,1.0,0.0,Mohun Bagan,47.0,4873.0,Nikhil Poojari,4-2-3-1,C. R. Srikrishna,Match Report,,11,4,,0,0,2022,Hyderabad FC
18,2023-02-18,17:30,Super League,Matchweek 21,Sat,Home,L,2.0,3.0,Jamshedpur,66.0,5276.0,Bartholomew Ogbeche,4-2-3-1,Pranjal Banerjee,Match Report,,12,4,,0,1,2022,Hyderabad FC
0,2022-10-10,19:30,Super League,Matchweek 1,Mon,Home,L,1.0,2.0,Chennaiyin,60.0,22236.0,Joni Kauko,3-5-2,Crystal John,Match Report,,15,7,,0,0,2022,Mohun Bagan
1,2022-10-16,19:30,Super League,Matchweek 2,Sun,Away,W,5.0,2.0,Kerala Blasters,43.0,34984.0,Pritam Kotal,3-4-3,R. Venkatesh,Match Report,,10,8,,0,0,2022,Mohun Bagan
2,2022-10-29,19:30,Super League,Matchweek 4,Sat,Home,W,2.0,0.0,East Bengal,57.0,62542.0,Pritam Kotal,4-2-3-1,C. R. Srikrishna,Match Report,,17,5,,0,0,2022,Mohun Bagan
3,2022-11-06,19:30,Super League,Matchweek 5,Sun,Away,D,2.0,2.0,Mumbai City,44.0,5869.0,Pritam Kotal,4-3-3,Rowan Arumughan,Match Report,,14,3,,0,0,2022,Mohun Bagan
4,2022-11-10,19:30,Super League,Matchweek 6,Thu,Home,W,2.0,1.0,NorthEast Utd,58.0,26425.0,Pritam Kotal,4-1-4-1,Tejas Nagvenkar,Match Report,,26,10,,0,0,2022,Mohun Bagan
5,2022-11-20,19:30,Super League,Matchweek 7,Sun,Away,L,0.0,3.0,Goa,49.0,13259.0,Pritam Kotal,4-3-3,R. Venkatesh,Match Report,,8,0,,0,0,2022,Mohun Bagan
6,2022-11-26,19:30,Super League,Matchweek 8,Sat,Home,W,1.0,0.0,Hyderabad FC,41.0,26493.0,Pritam Kotal,4-3-3,Harish Kundu,Match Report,,11,4,,0,0,2022,Mohun Bagan
7,2022-12-03,19:30,Super League,Matchweek 9,Sat,Away,W,1.0,0.0,Bengaluru,57.0,10430.0,Pritam Kotal,4-2-3-1,Ashwin Mohanlal,Match Report,,9,1,,0,0,2022,Mohun Bagan
8,2022-12-08,19:30,Super League,Matchweek 10,Thu,Home,W,1.0,0.0,Jamshedpur,56.0,15217.0,Pritam Kotal,4-3-3,Rahul Kumar Gupta,Match Report,,14,8,,1,1,2022,Mohun Bagan
9,2022-12-15,19:30,Super League,Matchweek 11,Thu,Away,D,0.0,0.0,Odisha,47.0,7019.0,Pritam Kotal,4-2-3-1,C. R. Srikrishna,Match Report,,7,4,,0,0,2022,Mohun Bagan
10,2022-12-24,19:30,Super League,Matchweek 12,Sat,Away,L,0.0,1.0,NorthEast Utd,60.0,504.0,Pritam Kotal,3-4-3,Aditya Purkayastha,Match Report,,15,8,,0,0,2022,Mohun Bagan
11,2022-12-28,19:30,Super League,Matchweek 13,Wed,Home,W,2.0,1.0,Goa,44.0,19873.0,Pritam Kotal,3-4-3,Harish Kundu,Match Report,,13,2,,0,0,2022,Mohun Bagan
12,2023-01-14,19:30,Super League,Matchweek 15,Sat,Home,L,0.0,1.0,Mumbai City,57.0,,Vishal Kaith,4-3-3,Tejas Nagvenkar,Match Report,,27,5,,0,0,2022,Mohun Bagan
13,2023-01-21,19:30,Super League,Matchweek 16,Sat,Away,D,0.0,0.0,Chennaiyin,56.0,,Pritam Kotal,4-2-3-1,Rahul Kumar Gupta,Match Report,,9,5,,0,0,2022,Mohun Bagan
14,2023-01-28,19:30,Super League,Matchweek 17,Sat,Home,W,2.0,0.0,Odisha,48.0,,Pritam Kotal,4-2-3-1,Crystal John,Match Report,,13,5,,0,0,2022,Mohun Bagan
15,2023-02-05,19:30,Super League,Matchweek 18,Sun,Home,L,1.0,2.0,Bengaluru,56.0,18594.0,Pritam Kotal,4-2-3-1,Aditya Purkayastha,Match Report,,18,4,,0,0,2022,Mohun Bagan
16,2023-02-09,19:30,Super League,Matchweek 19,Thu,Away,D,0.0,0.0,Jamshedpur,59.0,9669.0,Pritam Kotal,4-2-3-1,Umesh Bora,Match Report,,26,7,,0,0,2022,Mohun Bagan
17,2023-02-14,19:30,Super League,Matchweek 20,Tue,Away,L,0.0,1.0,Hyderabad FC,53.0,4873.0,Pritam Kotal,3-4-1-2,C. R. Srikrishna,Match Report,,12,3,,0,0,2022,Mohun Bagan
18,2023-02-18,19:30,Super League,Matchweek 21,Sat,Home,W,2.0,1.0,Kerala Blasters,47.0,,Pritam Kotal,4-2-3-1,Rahul Kumar Gupta,Match Report,,12,4,,0,0,2022,Mohun Bagan
0,2022-10-08,19:30,Super League,Matchweek 1,Sat,Home,W,1.0,0.0,NorthEast Utd,53.0,19379.0,Sunil Chhetri,3-4-1-2,Rahul Kumar Gupta,Match Report,,17,2,,0,0,2022,Bengaluru
1,2022-10-14,19:30,Super League,Matchweek 2,Fri,Away,D,1.0,1.0,Chennaiyin,47.0,12719.0,Sunil Chhetri,3-4-3,Crystal John,Match Report,,7,1,,0,0,2022,Bengaluru
2,2022-10-22,19:30,Super League,Matchweek 3,Sat,Away,L,0.0,1.0,Hyderabad FC,43.0,10543.0,Sunil Chhetri,3-4-1-2,Umesh Bora,Match Report,,4,2,,0,0,2022,Bengaluru
3,2022-10-27,19:30,Super League,Matchweek 4,Thu,Away,L,0.0,1.0,Odisha,54.0,6811.0,Sunil Chhetri,4-4-2,S. Senthil Nathan,Match Report,,9,2,,0,0,2022,Bengaluru
4,2022-11-11,19:30,Super League,Matchweek 6,Fri,Home,L,0.0,1.0,East Bengal,58.0,12817.0,Sunil Chhetri,4-3-1-2,Harish Kundu,Match Report,,10,1,,0,0,2022,Bengaluru
5,2022-11-17,19:30,Super League,Matchweek 7,Thu,Away,L,0.0,4.0,Mumbai City,50.0,6118.0,Gurpreet Singh Sandhu,4-2-3-1,C. R. Srikrishna,Match Report,,8,3,,0,0,2022,Bengaluru
6,2022-11-26,17:30,Super League,Matchweek 8,Sat,Away,W,2.0,0.0,Goa,28.0,10730.0,Gurpreet Singh Sandhu,4-3-3,Rowan Arumughan,Match Report,,7,3,,0,0,2022,Bengaluru
7,2022-12-03,19:30,Super League,Matchweek 9,Sat,Home,L,0.0,1.0,Mohun Bagan,43.0,10430.0,Sunil Chhetri,4-3-3,Ashwin Mohanlal,Match Report,,13,3,,0,0,2022,Bengaluru
8,2022-12-11,19:30,Super League,Matchweek 10,Sun,Away,L,2.0,3.0,Kerala Blasters,51.0,25184.0,Sunil Chhetri,4-3-3,I. Jamal Mohamed,Match Report,,5,3,,1,1,2022,Bengaluru
9,2022-12-17,17:30,Super League,Matchweek 11,Sat,Home,W,1.0,0.0,Jamshedpur,56.0,8726.0,Sunil Chhetri,5-3-2,R. Venkatesh,Match Report,,17,5,,0,0,2022,Bengaluru
10,2022-12-23,19:30,Super League,Matchweek 12,Fri,Home,L,0.0,3.0,Hyderabad FC,67.0,8117.0,Sunil Chhetri,4-3-3,Priyobarta Singh,Match Report,,9,2,,0,0,2022,Bengaluru
11,2022-12-30,19:30,Super League,Matchweek 13,Fri,Away,L,1.0,2.0,East Bengal,56.0,9137.0,Sunil Chhetri,4-3-3,Rahul Kumar Gupta,Match Report,,19,7,,0,0,2022,Bengaluru
12,2023-01-06,19:30,Super League,Matchweek 14,Fri,Away,W,2.0,1.0,NorthEast Utd,59.0,683.0,Gurpreet Singh Sandhu,3-4-1-2,Pratik Mondal,Match Report,,18,9,,0,0,2022,Bengaluru
13,2023-01-14,17:30,Super League,Matchweek 15,Sat,Home,W,3.0,1.0,Odisha,39.0,,Gurpreet Singh Sandhu,3-5-2,S. Senthil Nathan,Match Report,,13,5,,0,0,2022,Bengaluru
14,2023-01-18,19:30,Super League,Matchweek 16,Wed,Away,W,3.0,0.0,Jamshedpur,46.0,,Gurpreet Singh Sandhu,3-5-2,R. Venkatesh,Match Report,,10,4,,0,0,2022,Bengaluru
15,2023-01-28,17:30,Super League,Matchweek 17,Sat,Home,W,3.0,1.0,Chennaiyin,38.0,,Gurpreet Singh Sandhu,3-5-2,Tejas Nagvenkar,Match Report,,7,4,,0,0,2022,Bengaluru
16,2023-02-05,19:30,Super League,Matchweek 18,Sun,Away,W,2.0,1.0,Mohun Bagan,44.0,18594.0,Gurpreet Singh Sandhu,3-5-2,Aditya Purkayastha,Match Report,,25,5,,0,0,2022,Bengaluru
17,2023-02-11,19:30,Super League,Matchweek 20,Sat,Home,W,1.0,0.0,Kerala Blasters,31.0,28001.0,Gurpreet Singh Sandhu,3-5-2,Tejas Nagvenkar,Match Report,,19,6,,0,0,2022,Bengaluru
18,2023-02-15,19:30,Super League,Matchweek 20,Wed,Home,W,2.0,1.0,Mumbai City,39.0,5901.0,Sunil Chhetri,3-5-2,Rowan Arumughan,Match Report,,15,5,,0,0,2022,Bengaluru
0,2022-10-07,19:30,Super League,Matchweek 1,Fri,Home,W,3.0,1.0,East Bengal,53.0,34978.0,Jessel Carneiro,4-4-2,C. R. Srikrishna,Match Report,,22,10,,0,0,2022,Kerala Blasters
1,2022-10-16,19:30,Super League,Matchweek 2,Sun,Home,L,2.0,5.0,Mohun Bagan,57.0,34984.0,Jessel Carneiro,4-4-2,R. Venkatesh,Match Report,,18,7,,0,0,2022,Kerala Blasters
2,2022-10-23,19:30,Super League,Matchweek 3,Sun,Away,L,1.0,2.0,Odisha,48.0,5217.0,Jessel Carneiro,4-4-1-1,Priyobarta Singh,Match Report,,5,3,,0,0,2022,Kerala Blasters
3,2022-10-28,19:30,Super League,Matchweek 4,Fri,Home,L,0.0,2.0,Mumbai City,53.0,33121.0,Jessel Carneiro,4-4-2,Aditya Purkayastha,Match Report,,18,4,,0,0,2022,Kerala Blasters
4,2022-11-05,19:30,Super League,Matchweek 5,Sat,Away,W,3.0,0.0,NorthEast Utd,55.0,4867.0,Adrián Luna,4-4-2,Crystal John,Match Report,,12,4,,0,0,2022,Kerala Blasters
5,2022-11-13,19:30,Super League,Matchweek 6,Sun,Home,W,3.0,1.0,Goa,35.0,29347.0,Adrián Luna,4-4-2,Rahul Kumar Gupta,Match Report,,15,4,,1,1,2022,Kerala Blasters
6,2022-11-19,19:30,Super League,Matchweek 7,Sat,Away,W,1.0,0.0,Hyderabad FC,32.0,11834.0,Adrián Luna,4-2-2-2,Pranjal Banerjee,Match Report,,10,4,,0,0,2022,Kerala Blasters
7,2022-12-04,19:30,Super League,Matchweek 9,Sun,Away,W,1.0,0.0,Jamshedpur,63.0,16417.0,Adrián Luna,4-4-2,Tejas Nagvenkar,Match Report,,11,2,,0,0,2022,Kerala Blasters
8,2022-12-11,19:30,Super League,Matchweek 10,Sun,Home,W,3.0,2.0,Bengaluru,49.0,25184.0,Adrián Luna,4-4-2,I. Jamal Mohamed,Match Report,,14,7,,0,0,2022,Kerala Blasters
9,2022-12-19,19:30,Super League,Matchweek 11,Mon,Away,D,1.0,1.0,Chennaiyin,47.0,11132.0,Adrián Luna,4-4-1-1,Harish Kundu,Match Report,,15,4,,0,0,2022,Kerala Blasters
10,2022-12-26,19:30,Super League,Matchweek 12,Mon,Home,W,1.0,0.0,Odisha,51.0,31712.0,Jessel Carneiro,4-4-2,Pratik Mondal,Match Report,,11,3,,0,0,2022,Kerala Blasters
11,2023-01-03,19:30,Super League,Matchweek 13,Tue,Home,W,3.0,1.0,Jamshedpur,56.0,24117.0,Jessel Carneiro,4-4-2,Ashwin Mohanlal,Match Report,,19,7,,1,1,2022,Kerala Blasters
12,2023-01-08,19:30,Super League,Matchweek 14,Sun,Away,L,0.0,4.0,Mumbai City,40.0,6407.0,Jessel Carneiro,4-4-2,C. R. Srikrishna,Match Report,,9,1,,0,0,2022,Kerala Blasters
13,2023-01-22,19:30,Super League,Matchweek 16,Sun,Away,L,1.0,3.0,Goa,57.0,,Adrián Luna,4-4-2,C. R. Srikrishna,Match Report,,12,4,,0,0,2022,Kerala Blasters
14,2023-01-29,19:30,Super League,Matchweek 17,Sun,Home,W,2.0,0.0,NorthEast Utd,64.0,,Jessel Carneiro,4-4-2,Umesh Bora,Match Report,,25,9,,0,0,2022,Kerala Blasters
15,2023-02-03,19:30,Super League,Matchweek 18,Fri,Away,L,0.0,1.0,East Bengal,59.0,2575.0,Jessel Carneiro,3-1-4-2,Ashwin Mohanlal,Match Report,,12,3,,0,0,2022,Kerala Blasters
16,2023-02-07,19:30,Super League,Matchweek 19,Tue,Home,W,2.0,1.0,Chennaiyin,57.0,21049.0,Jessel Carneiro,4-2-3-1,Crystal John,Match Report,,10,4,,0,0,2022,Kerala Blasters
17,2023-02-11,19:30,Super League,Matchweek 20,Sat,Away,L,0.0,1.0,Bengaluru,69.0,28001.0,Jessel Carneiro,4-4-2,Tejas Nagvenkar,Match Report,,12,2,,0,0,2022,Kerala Blasters
18,2023-02-18,19:30,Super League,Matchweek 21,Sat,Away,L,1.0,2.0,Mohun Bagan,53.0,,Jessel Carneiro,4-4-2,Rahul Kumar Gupta,Match Report,,10,2,,0,0,2022,Kerala Blasters
0,2022-10-11,19:30,Super League,Matchweek 1,Tue,Away,W,3.0,2.0,Jamshedpur,62.0,19213.0,Carlos Delgado,4-3-3,Rowan Arumughan,Match Report,,9,4,,0,0,2022,Odisha
1,2022-10-15,19:30,Super League,Matchweek 2,Sat,Away,L,0.0,2.0,Mumbai City,51.0,4128.0,Carlos Delgado,4-3-3,Pranjal Banerjee,Match Report,,16,3,,0,0,2022,Odisha
2,2022-10-23,19:30,Super League,Matchweek 3,Sun,Home,W,2.0,1.0,Kerala Blasters,52.0,5217.0,Carlos Delgado,4-3-3,Priyobarta Singh,Match Report,,16,8,,0,0,2022,Odisha
3,2022-10-27,19:30,Super League,Matchweek 4,Thu,Home,W,1.0,0.0,Bengaluru,47.0,6811.0,Carlos Delgado,4-3-3,S. Senthil Nathan,Match Report,,19,6,,0,0,2022,Odisha
4,2022-11-05,17:30,Super League,Matchweek 5,Sat,Away,L,0.0,1.0,Hyderabad FC,49.0,10126.0,Carlos Delgado,4-3-3,R. Venkatesh,Match Report,,8,2,,0,0,2022,Odisha
5,2022-11-18,19:30,Super League,Matchweek 7,Fri,Away,W,4.0,2.0,East Bengal,53.0,17772.0,Carlos Delgado,4-3-3,I. Jamal Mohamed,Match Report,,14,5,,0,0,2022,Odisha
6,2022-11-24,19:30,Super League,Matchweek 8,Thu,Home,W,3.0,2.0,Chennaiyin,55.0,7218.0,Carlos Delgado,4-3-3,Aditya Purkayastha,Match Report,,19,6,,1,1,2022,Odisha
7,2022-12-02,19:30,Super League,Matchweek 9,Fri,Home,W,2.0,1.0,NorthEast Utd,59.0,7716.0,Carlos Delgado,4-3-3,Umesh Bora,Match Report,,18,5,,0,0,2022,Odisha
8,2022-12-10,17:30,Super League,Matchweek 10,Sat,Away,L,0.0,3.0,Goa,49.0,9456.0,Carlos Delgado,4-3-3,Crystal John,Match Report,,6,3,,0,0,2022,Odisha
9,2022-12-15,19:30,Super League,Matchweek 11,Thu,Home,D,0.0,0.0,Mohun Bagan,53.0,7019.0,Carlos Delgado,4-2-3-1,C. R. Srikrishna,Match Report,,17,2,,0,0,2022,Odisha
10,2022-12-26,19:30,Super League,Matchweek 12,Mon,Away,L,0.0,1.0,Kerala Blasters,49.0,31712.0,Carlos Delgado,4-3-3,Pratik Mondal,Match Report,,10,3,,0,0,2022,Odisha
11,2023-01-02,19:30,Super League,Matchweek 13,Mon,Home,L,2.0,4.0,Mumbai City,41.0,4417.0,Carlos Delgado,4-2-3-1,Rowan Arumughan,Match Report,,11,4,,0,0,2022,Odisha
12,2023-01-07,19:30,Super League,Matchweek 14,Sat,Home,W,3.0,1.0,East Bengal,55.0,,Carlos Delgado,4-3-3,R. Venkatesh,Match Report,,16,6,,0,0,2022,Odisha
13,2023-01-14,17:30,Super League,Matchweek 15,Sat,Away,L,1.0,3.0,Bengaluru,61.0,,Carlos Delgado,4-3-3,S. Senthil Nathan,Match Report,,11,2,,1,1,2022,Odisha
14,2023-01-28,19:30,Super League,Matchweek 17,Sat,Away,L,0.0,2.0,Mohun Bagan,53.0,,Carlos Delgado,4-3-3,Crystal John,Match Report,,5,1,,0,0,2022,Odisha
15,2023-02-02,19:30,Super League,Matchweek 18,Thu,Away,D,2.0,2.0,Chennaiyin,42.0,,Carlos Delgado,4-3-3,Pratik Mondal,Match Report,,6,4,,0,0,2022,Odisha
16,2023-02-06,19:30,Super League,Matchweek 19,Mon,Home,D,1.0,1.0,Goa,41.0,,Carlos Delgado,4-3-3,R. Venkatesh,Match Report,,10,2,,0,0,2022,Odisha
17,2023-02-10,19:30,Super League,Matchweek 19,Fri,Home,W,3.0,1.0,Hyderabad FC,48.0,6217.0,Carlos Delgado,4-4-2,Aditya Purkayastha,Match Report,,13,7,,0,0,2022,Odisha
18,2023-02-17,19:30,Super League,Matchweek 21,Fri,Away,W,3.0,1.0,NorthEast Utd,59.0,403.0,Carlos Delgado,4-2-3-1,Umesh Bora,Match Report,,18,4,,1,1,2022,Odisha
0,2022-10-12,19:30,Super League,Matchweek 2,Wed,Away,W,2.0,1.0,East Bengal,59.0,17500.0,Brandon Fernandes,4-2-3-1,Harish Kundu,Match Report,,16,5,,0,0,2022,Goa
1,2022-10-21,19:30,Super League,Matchweek 3,Fri,Away,W,2.0,0.0,Chennaiyin,46.0,11564.0,Brandon Fernandes,4-2-3-1,Pranjal Banerjee,Match Report,,20,7,,0,0,2022,Goa
2,2022-10-29,17:30,Super League,Matchweek 4,Sat,Away,L,0.0,1.0,Hyderabad FC,61.0,9638.0,Brandon Fernandes,4-2-3-1,Crystal John,Match Report,,14,2,,0,1,2022,Goa
3,2022-11-03,19:30,Super League,Matchweek 5,Thu,Home,W,3.0,0.0,Jamshedpur,70.0,13123.0,Brandon Fernandes,4-2-3-1,Pranjal Banerjee,Match Report,,7,4,,0,0,2022,Goa
4,2022-11-13,19:30,Super League,Matchweek 6,Sun,Away,L,1.0,3.0,Kerala Blasters,65.0,29347.0,Brandon Fernandes,4-2-3-1,Rahul Kumar Gupta,Match Report,,13,3,,0,0,2022,Goa
5,2022-11-20,19:30,Super League,Matchweek 7,Sun,Home,W,3.0,0.0,Mohun Bagan,52.0,13259.0,Brandon Fernandes,4-2-3-1,R. Venkatesh,Match Report,,15,8,,0,0,2022,Goa
6,2022-11-26,17:30,Super League,Matchweek 8,Sat,Home,L,0.0,2.0,Bengaluru,72.0,10730.0,Brandon Fernandes,4-2-3-1,Rowan Arumughan,Match Report,,14,6,,0,0,2022,Goa
7,2022-12-01,19:30,Super League,Matchweek 9,Thu,Away,L,1.0,4.0,Mumbai City,45.0,5529.0,Brandon Fernandes,4-2-3-1,Pratik Mondal,Match Report,,13,5,,0,0,2022,Goa
8,2022-12-10,17:30,Super League,Matchweek 10,Sat,Home,W,3.0,0.0,Odisha,51.0,9456.0,Brandon Fernandes,4-2-3-1,Crystal John,Match Report,,15,4,,0,0,2022,Goa
9,2022-12-17,19:30,Super League,Matchweek 11,Sat,Home,W,2.0,1.0,NorthEast Utd,66.0,11037.0,Brandon Fernandes,4-2-3-1,Ashwin Mohanlal,Match Report,,19,5,,0,0,2022,Goa
10,2022-12-22,19:30,Super League,Matchweek 12,Thu,Away,D,2.0,2.0,Jamshedpur,62.0,13237.0,Brandon Fernandes,4-2-3-1,Umesh Bora,Match Report,,19,3,,0,0,2022,Goa
11,2022-12-28,19:30,Super League,Matchweek 13,Wed,Away,L,1.0,2.0,Mohun Bagan,56.0,19873.0,Brandon Fernandes,4-2-3-1,Harish Kundu,Match Report,,10,1,,0,0,2022,Goa
12,2023-01-05,19:30,Super League,Matchweek 14,Thu,Home,L,1.0,3.0,Hyderabad FC,64.0,8327.0,Brandon Fernandes,4-2-3-1,Pranjal Banerjee,Match Report,,14,3,,0,0,2022,Goa
